,conn_state_OTH,conn_state_REJ,conn_state_RSTO,conn_state_RSTOS0,conn_state_RSTR,conn_state_RSTRH,conn_state_S0,conn_state_S1,conn_state_S2,conn_state_S3,conn_state_SF,conn_state_SH,conn_state_SHR,duration,label,missed_bytes,orig_bytes,orig_ip_bytes,orig_pkts,proto_icmp,proto_tcp,proto_udp,resp_bytes,resp_ip_bytes,resp_pkts
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.003497,False,0.0,0,212.0,5.0,0,1,0,0,144.0,3.0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.036724,False,0.0,34,62.0,1.0,0,0,1,311,339.0,1.0
2,0,0,0,0,0,0,1,0,0,0,0,0,0,384.518261,False,0.0,15072,16416.0,48.0,0,0,1,0,0.0,0.0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0.270332,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
4,0,0,0,0,0,0,0,0,0,0,1,0,0,0.111429,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
5,0,0,0,0,0,0,0,0,0,0,1,0,0,0.114433,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
6,0,0,0,0,0,0,0,0,0,0,1,0,0,0.016984,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
7,0,0,0,0,0,0,0,0,0,0,1,0,0,0.003497,False,0.0,0,172.0,4.0,0,1,0,0,92.0,2.0
8,0,0,0,0,0,0,0,0,0,0,1,0,0,0.040227,False,0.0,34,62.0,1.0,0,0,1,311,339.0,1.0
9,0,0,0,0,0,0,0,0,0,0,1,0,0,0.270346,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
10,0,0,0,0,0,0,0,0,0,0,1,0,0,0.109684,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
11,0,0,0,0,0,0,0,0,0,0,1,0,0,0.114426,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
12,0,0,0,0,0,0,0,0,0,0,1,0,0,0.016980,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
13,0,0,0,0,0,0,1,0,0,0,0,0,0,1633.044330,False,0.0,60288,65664.0,192.0,0,0,1,0,0.0,0.0
14,0,0,0,0,0,0,0,0,0,0,1,0,0,0.003498,False,0.0,0,172.0,4.0,0,1,0,0,92.0,2.0
15,0,0,0,0,0,0,0,0,0,0,1,0,0,0.183145,False,0.0,34,62.0,1.0,0,0,1,311,339.0,1.0
16,0,0,0,0,0,0,0,0,0,0,1,0,0,0.272344,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
17,0,0,0,0,0,0,0,0,0,0,1,0,0,0.109436,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
18,0,0,0,0,0,0,1,0,0,0,0,0,0,766.048560,False,0.0,28260,30780.0,90.0,0,0,1,0,0.0,0.0
19,0,0,0,0,0,0,1,0,0,0,0,0,0,50.851218,False,0.0,3768,4104.0,12.0,0,0,1,0,0.0,0.0
20,0,0,0,0,0,0,0,0,0,0,1,0,0,0.088446,False,0.0,1847,2139.0,7.0,0,1,0,1539,1823.0,7.0
21,0,0,0,0,0,0,0,0,0,0,1,0,0,0.109187,False,0.0,1847,2099.0,6.0,0,1,0,791,1035.0,6.0
22,0,0,0,0,0,0,0,0,0,0,1,0,0,0.050455,False,0.0,37,65.0,1.0,0,0,1,179,207.0,1.0
23,0,0,0,0,0,0,0,0,0,0,1,0,0,0.003998,False,0.0,37,65.0,1.0,0,0,1,442,470.0,1.0
24,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000499,False,0.0,37,65.0,1.0,0,0,1,100,128.0,1.0
25,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000500,False,0.0,37,65.0,1.0,0,0,1,132,160.0,1.0
26,0,0,0,0,0,0,0,0,0,0,1,0,0,0.003499,False,0.0,0,172.0,4.0,0,1,0,0,132.0,3.0
27,0,0,0,0,0,0,0,0,0,0,1,0,0,0.046210,False,0.0,34,62.0,1.0,0,0,1,297,325.0,1.0
28,0,0,0,0,0,0,0,0,0,0,1,0,0,0.114417,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
29,0,0,0,0,0,0,0,0,0,0,1,0,0,0.017238,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
30,0,0,0,0,0,0,1,0,0,0,0,0,0,50.868027,False,0.0,3768,4104.0,12.0,0,0,1,0,0.0,0.0
31,0,0,0,0,0,0,0,0,0,0,1,0,0,0.269349,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
32,0,0,0,0,0,0,0,0,0,0,1,0,0,0.003495,False,0.0,0,212.0,5.0,0,1,0,0,144.0,3.0
33,0,0,0,0,0,0,0,0,0,0,1,0,0,0.036214,False,0.0,34,62.0,1.0,0,0,1,311,339.0,1.0
34,0,0,0,0,0,0,1,0,0,0,0,0,0,1480.810378,False,0.0,52752,57456.0,168.0,0,0,1,0,0.0,0.0
35,0,0,0,0,0,0,0,0,0,0,1,0,0,0.003496,False,0.0,0,172.0,4.0,0,1,0,0,92.0,2.0
36,0,0,0,0,0,0,0,0,0,0,1,0,0,0.200137,False,0.0,34,62.0,1.0,0,0,1,297,325.0,1.0
37,0,0,0,0,0,0,0,0,0,0,1,0,0,0.109694,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
38,0,0,0,0,0,0,0,0,0,0,1,0,0,0.116179,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
39,0,0,0,0,0,0,0,0,0,0,1,0,0,0.016732,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
40,0,0,0,0,0,0,0,0,0,0,1,0,0,3.000292,False,0.0,0,276.0,6.0,0,1,0,0,92.0,2.0
41,0,0,0,0,0,0,0,0,0,0,1,0,0,0.119679,False,0.0,34,62.0,1.0,0,0,1,297,325.0,1.0
42,0,0,0,0,0,0,1,0,0,0,0,0,0,1032.879228,False,0.0,37680,41040.0,120.0,0,0,1,0,0.0,0.0
43,0,0,0,0,0,0,1,0,0,0,0,0,0,50.830580,False,0.0,3768,4104.0,12.0,0,0,1,0,0.0,0.0
44,0,0,0,0,0,0,0,0,0,0,1,0,0,0.270102,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
45,0,0,0,0,0,0,1,0,0,0,0,0,0,322.370929,False,0.0,13188,14364.0,42.0,0,0,1,0,0.0,0.0
46,0,0,0,0,0,0,0,0,0,0,1,0,0,0.089448,False,0.0,1847,2151.0,7.0,0,1,0,1539,1831.0,7.0
47,0,0,0,0,0,0,0,0,0,0,1,0,0,0.114934,False,0.0,1847,2099.0,6.0,0,1,0,791,1035.0,6.0
48,0,0,0,0,0,0,0,0,0,0,1,0,0,0.180398,False,0.0,37,65.0,1.0,0,0,1,179,207.0,1.0
49,0,0,0,0,0,0,0,0,0,0,1,0,0,0.003752,False,0.0,37,65.0,1.0,0,0,1,442,470.0,1.0
50,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000499,False,0.0,37,65.0,1.0,0,0,1,100,128.0,1.0
51,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000750,False,0.0,37,65.0,1.0,0,0,1,132,160.0,1.0
52,0,0,0,0,0,0,0,0,0,0,1,0,0,0.003496,False,0.0,0,172.0,4.0,0,1,0,0,92.0,2.0
53,0,0,0,0,0,0,0,0,0,0,1,0,0,0.061961,False,0.0,34,62.0,1.0,0,0,1,311,339.0,1.0
54,0,0,0,0,0,0,0,0,0,0,1,0,0,0.109678,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
55,0,0,0,0,0,0,0,0,0,0,1,0,0,0.114433,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
56,0,0,0,0,0,0,0,0,0,0,1,0,0,0.016723,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
57,0,0,0,0,0,0,0,0,0,0,1,0,0,0.003248,False,0.0,0,172.0,4.0,0,1,0,0,92.0,2.0
58,0,0,0,0,0,0,0,0,0,0,1,0,0,0.042224,False,0.0,34,62.0,1.0,0,0,1,297,325.0,1.0
59,0,0,0,0,0,0,1,0,0,0,0,0,0,1643.646987,False,0.0,58404,63612.0,186.0,0,0,1,0,0.0,0.0
60,0,0,0,0,0,0,0,0,0,0,1,0,0,0.269861,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
61,0,0,0,0,0,0,1,0,0,0,0,0,0,109.999279,False,0.0,5652,6156.0,18.0,0,0,1,0,0.0,0.0
62,0,0,0,0,0,0,0,0,0,0,1,0,0,0.003497,False,0.0,0,212.0,5.0,0,1,0,0,144.0,3.0
63,0,0,0,0,0,0,0,0,0,0,1,0,0,0.034980,False,0.0,34,62.0,1.0,0,0,1,297,325.0,1.0
64,0,0,0,0,0,0,0,0,0,0,1,0,0,0.109194,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
65,0,0,0,0,0,0,0,0,0,0,1,0,0,0.003498,False,0.0,0,172.0,4.0,0,1,0,0,92.0,2.0
66,0,0,0,0,0,0,0,0,0,0,1,0,0,0.107433,False,0.0,34,62.0,1.0,0,0,1,297,325.0,1.0
67,0,0,0,0,0,0,0,0,0,0,1,0,0,0.016983,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
68,0,0,0,0,0,0,0,0,0,0,1,0,0,0.114429,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
69,0,0,0,0,0,0,0,0,0,0,1,0,0,0.269841,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
70,0,0,0,0,0,0,0,0,0,0,1,0,0,0.093946,False,0.0,1847,2151.0,7.0,0,1,0,1539,1831.0,7.0
71,0,0,0,0,0,0,0,0,0,0,1,0,0,0.126426,False,0.0,1847,2099.0,6.0,0,1,0,791,1035.0,6.0
72,0,0,0,0,0,0,0,0,0,0,1,0,0,0.039463,False,0.0,37,65.0,1.0,0,0,1,179,207.0,1.0
73,0,0,0,0,0,0,0,0,0,0,1,0,0,0.004250,False,0.0,37,65.0,1.0,0,0,1,442,470.0,1.0
74,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000499,False,0.0,37,65.0,1.0,0,0,1,100,128.0,1.0
75,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000500,False,0.0,37,65.0,1.0,0,0,1,132,160.0,1.0
76,0,0,0,0,0,0,0,0,0,0,1,0,0,0.003250,False,0.0,0,172.0,4.0,0,1,0,0,132.0,3.0
77,0,0,0,0,0,0,0,0,0,0,1,0,0,0.046721,False,0.0,34,62.0,1.0,0,0,1,297,325.0,1.0
78,0,0,0,0,0,0,0,0,0,0,1,0,0,0.003745,False,0.0,0,172.0,4.0,0,1,0,0,132.0,3.0
79,0,0,0,0,0,0,0,0,0,0,1,0,0,0.051225,False,0.0,34,62.0,1.0,0,0,1,297,325.0,1.0
80,0,0,0,0,0,0,0,0,0,0,1,0,0,0.109680,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
81,0,0,0,0,0,0,0,0,0,0,1,0,0,0.016990,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
82,0,0,0,0,0,0,0,0,0,0,1,0,0,0.114424,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
83,0,0,0,0,0,0,0,0,0,0,1,0,0,0.003247,False,0.0,0,212.0,5.0,0,1,0,0,144.0,3.0
84,0,0,0,0,0,0,0,0,0,0,1,0,0,0.040470,False,0.0,34,62.0,1.0,0,0,1,297,325.0,1.0
85,0,0,0,0,0,0,0,0,0,0,1,0,0,0.272601,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
86,0,0,0,0,0,0,0,0,0,0,1,0,0,0.003501,False,0.0,0,172.0,4.0,0,1,0,0,132.0,3.0
87,0,0,0,0,0,0,0,0,0,0,1,0,0,0.196634,False,0.0,34,62.0,1.0,0,0,1,297,325.0,1.0
88,0,0,0,0,0,0,0,0,0,0,1,0,0,0.109685,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
89,0,0,0,0,0,0,0,0,0,0,1,0,0,0.016989,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
90,0,0,0,0,0,0,0,0,0,0,1,0,0,0.114182,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
91,0,0,0,0,0,0,0,0,0,0,1,0,0,0.094447,False,0.0,1847,2139.0,7.0,0,1,0,1539,1823.0,7.0
92,0,0,0,0,0,0,0,0,0,0,1,0,0,0.113685,False,0.0,1847,2099.0,6.0,0,1,0,791,1043.0,6.0
93,0,0,0,0,0,0,0,0,0,0,1,0,0,0.210379,False,0.0,1595,1927.0,8.0,0,1,0,177,469.0,7.0
94,0,0,0,0,0,0,0,0,0,0,1,0,0,0.200631,False,0.0,37,65.0,1.0,0,0,1,179,207.0,1.0
95,0,0,0,0,0,0,0,0,0,0,1,0,0,0.004000,False,0.0,37,65.0,1.0,0,0,1,442,470.0,1.0
96,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000500,False,0.0,37,65.0,1.0,0,0,1,100,128.0,1.0
97,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000750,False,0.0,37,65.0,1.0,0,0,1,132,160.0,1.0
98,0,0,0,0,0,0,0,0,0,0,1,0,0,0.197378,False,0.0,41,69.0,1.0,0,0,1,124,152.0,1.0
99,0,0,0,0,0,0,0,0,0,0,1,0,0,0.003497,False,0.0,0,172.0,4.0,0,1,0,0,92.0,2.0
100,0,0,0,0,0,0,0,0,0,0,1,0,0,0.039479,False,0.0,34,62.0,1.0,0,0,1,297,325.0,1.0
101,0,0,0,0,0,0,0,0,0,0,1,0,0,0.272087,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
102,0,0,0,0,0,0,0,0,0,0,1,0,0,0.003497,False,0.0,0,212.0,5.0,0,1,0,0,144.0,3.0
103,0,0,0,0,0,0,0,0,0,0,1,0,0,0.038729,False,0.0,34,62.0,1.0,0,0,1,297,325.0,1.0
104,0,0,0,0,0,0,0,0,0,0,1,0,0,0.109672,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
105,0,0,0,0,0,0,0,0,0,0,1,0,0,0.003496,False,0.0,0,212.0,5.0,0,1,0,0,144.0,3.0
106,0,0,0,0,0,0,0,0,0,0,1,0,0,0.104447,False,0.0,34,62.0,1.0,0,0,1,297,325.0,1.0
107,0,0,0,0,0,0,0,0,0,0,1,0,0,0.016983,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
108,0,0,0,0,0,0,0,0,0,0,1,0,0,0.116177,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
109,0,0,0,0,0,0,0,0,0,0,1,0,0,0.270104,False,0.0,48,76.0,1.0,0,0,1,48,76.0,1.0
110,0,0,0,0,0,0,0,0,0,0,1,0,0,0.003248,False,0.0,0,212.0,5.0,0,1,0,0,144.0,3.0
